Rank,Country,WorldRiskIndex,Exposure,Vulnerability,Susceptibility,Lack of Coping Capacities,Lack of Adaptive Capacities
1,Vanuatu, 36.28 , 63.66 , 56.99 , 34.90 , 81.16 , 54.90 
2,Tonga, 29.33 , 55.27 , 53.08 , 28.66 , 81.80 , 48.76 
3,Philippines, 26.70 , 52.46 , 50.90 , 31.83 , 80.92 , 39.96 
4,Guatemala, 19.88 , 36.30 , 54.76 , 35.82 , 81.00 , 47.46 
5,Bangladesh, 19.17 , 31.70 , 60.48 , 38.23 , 86.36 , 56.84 
6,Solomon Islands, 19.14 , 29.98 , 63.83 , 44.01 , 85.56 , 61.90 
7,Brunei Darussalam, 17.00 , 41.10 , 41.36 , 17.40 , 63.17 , 43.53 
8,Costa Rica, 17.00 , 42.61 , 39.89 , 21.32 , 63.78 , 34.57 
9,Cambodia, 16.58 , 27.65 , 59.96 , 37.55 , 86.84 , 55.49 
10,Papua New Guinea, 16.43 , 24.94 , 65.90 , 54.81 , 83.94 , 58.95 
11,El Salvador, 16.05 , 32.60 , 49.25 , 27.84 , 74.78 , 45.14 
12,Timor-Leste, 15.69 , 25.73 , 60.98 , 49.93 , 81.39 , 51.61 
13,Mauritius, 15.53 , 37.35 , 41.58 , 18.02 , 61.59 , 45.14 
14,Nicaragua, 14.62 , 27.23 , 53.69 , 33.67 , 80.70 , 46.71 
15,Guinea-Bissau, 13.56 , 19.65 , 68.99 , 52.64 , 89.93 , 64.38 
16,Fiji, 13.15 , 27.71 , 47.47 , 24.18 , 74.69 , 43.55 
17,Japan, 12.99 , 45.91 , 28.29 , 17.82 , 38.04 , 29.00 
18,Viet Nam, 12.53 , 25.35 , 49.43 , 24.95 , 76.67 , 46.67 
19,Gambia, 12.07 , 19.29 , 62.58 , 44.77 , 83.87 , 59.11 
20,Jamaica, 11.83 , 25.82 , 45.81 , 25.43 , 71.30 , 40.70 
21,Haiti, 11.68 , 16.26 , 71.85 , 61.81 , 91.24 , 62.49 
22,Chile, 11.65 , 30.95 , 37.66 , 19.67 , 58.61 , 34.70 
23,Benin, 11.39 , 17.06 , 66.76 , 52.23 , 82.00 , 66.06 
24,Guyana, 11.39 , 22.90 , 49.72 , 27.16 , 78.96 , 43.05 
25,Niger, 11.24 , 15.87 , 70.80 , 57.72 , 86.56 , 68.11 
26,Madagascar, 11.15 , 16.03 , 69.52 , 65.23 , 83.79 , 59.55 
27,Dominican Republic, 10.96 , 23.14 , 47.36 , 27.55 , 73.16 , 41.38 
28,Cameroon, 10.91 , 18.19 , 59.95 , 42.07 , 84.97 , 52.80 
29,Chad, 10.85 , 14.89 , 72.86 , 61.07 , 91.09 , 66.42 
30,Honduras, 10.68 , 20.01 , 53.36 , 33.29 , 81.00 , 45.78 
31,Cape Verde, 10.39 , 20.26 , 51.29 , 31.38 , 70.88 , 51.61 
32,Senegal, 10.38 , 17.57 , 59.08 , 45.87 , 80.15 , 51.23 
33,Togo, 10.36 , 15.56 , 66.62 , 57.36 , 84.42 , 58.08 
34,Djibouti, 10.30 , 16.34 , 63.01 , 37.87 , 83.03 , 68.11 
35,Burundi, 10.28 , 15.13 , 67.98 , 63.23 , 87.71 , 53.01 
36,Indonesia, 10.24 , 19.36 , 52.87 , 30.09 , 79.49 , 49.04 
37,Sierra Leone, 10.21 , 14.65 , 69.69 , 57.06 , 86.46 , 65.55 
38,Zimbabwe, 10.06 , 14.96 , 67.24 , 57.49 , 88.22 , 56.00 
