ISO,Country,Units,Scale,Country/Series-specific Notes,2020,Estimates Start After
AFG,Afghanistan,Purchasing power parity; 2017 international dollar,Units,,"1,961.10",2019
ALB,Albania,Purchasing power parity; 2017 international dollar,Units,,"12,915.12",2018
DZA,Algeria,Purchasing power parity; 2017 international dollar,Units,,"10,445.13",2019
AGO,Angola,Purchasing power parity; 2017 international dollar,Units,,"6,602.07",2017
ATG,Antigua and Barbuda,Purchasing power parity; 2017 international dollar,Units,,"17,648.97",2011
ARG,Argentina,Purchasing power parity; 2017 international dollar,Units,,"19,271.09",2019
ARM,Armenia,Purchasing power parity; 2017 international dollar,Units,,"12,994.72",2015
ABW,Aruba,Purchasing power parity; 2017 international dollar,Units,,"25,703.88",2017
AUS,Australia,Purchasing power parity; 2017 international dollar,Units,,"48,102.65",2019
AUT,Austria,Purchasing power parity; 2017 international dollar,Units,,"52,418.01",2019
AZE,Azerbaijan,Purchasing power parity; 2017 international dollar,Units,,"13,717.09",2018
BHS,The Bahamas,Purchasing power parity; 2017 international dollar,Units,,"31,984.26",2018
BHR,Bahrain,Purchasing power parity; 2017 international dollar,Units,,"46,411.78",2019
BGD,Bangladesh,Purchasing power parity; 2017 international dollar,Units,,"4,861.45",2013
BRB,Barbados,Purchasing power parity; 2017 international dollar,Units,,"13,782.52",2019
BLR,Belarus,Purchasing power parity; 2017 international dollar,Units,,"18,693.05",2019
BEL,Belgium,Purchasing power parity; 2017 international dollar,Units,,"47,411.52",2019
BLZ,Belize,Purchasing power parity; 2017 international dollar,Units,,"5,387.97",2019
BEN,Benin,Purchasing power parity; 2017 international dollar,Units,,"3,257.60",2017
BTN,Bhutan,Purchasing power parity; 2017 international dollar,Units,,"11,407.29",2015
BOL,Bolivia,Purchasing power parity; 2017 international dollar,Units,,"7,892.34",2017
BIH,Bosnia and Herzegovina,Purchasing power parity; 2017 international dollar,Units,,"14,091.34",2018
BWA,Botswana,Purchasing power parity; 2017 international dollar,Units,,"15,281.53",2017
BRA,Brazil,Purchasing power parity; 2017 international dollar,Units,,"13,777.45",2019
BRN,Brunei Darussalam,Purchasing power parity; 2017 international dollar,Units,,"58,482.21",2019
BGR,Bulgaria,Purchasing power parity; 2017 international dollar,Units,,"22,460.68",2019
BFA,Burkina Faso,Purchasing power parity; 2017 international dollar,Units,,"2,084.02",2018
BDI,Burundi,Purchasing power parity; 2017 international dollar,Units,,740.323,2015
CPV,Cabo Verde,Purchasing power parity; 2017 international dollar,Units,,"6,603.68",2018
KHM,Cambodia,Purchasing power parity; 2017 international dollar,Units,,"4,201.51",2018
CMR,Cameroon,Purchasing power parity; 2017 international dollar,Units,,"3,509.73",2010
CAN,Canada,Purchasing power parity; 2017 international dollar,Units,,"45,003.36",2019
CAF,Central African Republic,Purchasing power parity; 2017 international dollar,Units,,919.668,2004
TCD,Chad,Purchasing power parity; 2017 international dollar,Units,,"1,530.53",2017
CHL,Chile,Purchasing power parity; 2017 international dollar,Units,,"22,190.01",2019
CHN,China,Purchasing power parity; 2017 international dollar,Units,,"16,277.74",2018
COL,Colombia,Purchasing power parity; 2017 international dollar,Units,,"13,374.44",2019
COM,Comoros,Purchasing power parity; 2017 international dollar,Units,,"2,851.13",2015
COD,Democratic Republic of the Congo,Purchasing power parity; 2017 international dollar,Units,,924.797,2019
COG,Republic of Congo,Purchasing power parity; 2017 international dollar,Units,,"4,004.68",2017
CRI,Costa Rica,Purchasing power parity; 2017 international dollar,Units,,"18,267.96",2019
CIV,Côte d'Ivoire,Purchasing power parity; 2017 international dollar,Units,,"5,071.04",2015
HRV,Croatia,Purchasing power parity; 2017 international dollar,Units,,"26,188.45",2019
CYP,Cyprus,Purchasing power parity; 2017 international dollar,Units,,"36,971.00",2019
CZE,Czech Republic,Purchasing power parity; 2017 international dollar,Units,,"38,120.24",2019
DNK,Denmark,Purchasing power parity; 2017 international dollar,Units,,"54,665.18",2019
DJI,Djibouti,Purchasing power parity; 2017 international dollar,Units,,"4,799.94",2018
DMA,Dominica,Purchasing power parity; 2017 international dollar,Units,,"11,430.99",2011
DOM,Dominican Republic,Purchasing power parity; 2017 international dollar,Units,,"17,769.75",2018
ECU,Ecuador,Purchasing power parity; 2017 international dollar,Units,,"10,044.57",2018
EGY,Egypt,Purchasing power parity; 2017 international dollar,Units,,"12,033.04",2018
SLV,El Salvador,Purchasing power parity; 2017 international dollar,Units,,"7,947.99",2018
GNQ,Equatorial Guinea,Purchasing power parity; 2017 international dollar,Units,,"16,823.43",2015
ERI,Eritrea,Purchasing power parity; 2017 international dollar,Units,,"1,725.91",2006
EST,Estonia,Purchasing power parity; 2017 international dollar,Units,,"35,035.62",2019
SWZ,Eswatini,Purchasing power parity; 2017 international dollar,Units,,"8,472.20",2017
ETH,Ethiopia,Purchasing power parity; 2017 international dollar,Units,,"2,622.48",2016
FJI,Fiji,Purchasing power parity; 2017 international dollar,Units,,"10,572.58",2017
FIN,Finland,Purchasing power parity; 2017 international dollar,Units,,"46,673.32",2019
FRA,France,Purchasing power parity; 2017 international dollar,Units,,"43,002.82",2019
GAB,Gabon,Purchasing power parity; 2017 international dollar,Units,,"14,998.69",2004
GMB,The Gambia,Purchasing power parity; 2017 international dollar,Units,,"2,118.19",2018
GEO,Georgia,Purchasing power parity; 2017 international dollar,Units,,"14,325.76",2015
DEU,Germany,Purchasing power parity; 2017 international dollar,Units,,"50,682.06",2019
GHA,Ghana,Purchasing power parity; 2017 international dollar,Units,,"5,398.76",2018
GRC,Greece,Purchasing power parity; 2017 international dollar,Units,,"27,478.68",2019
GRD,Grenada,Purchasing power parity; 2017 international dollar,Units,,"15,566.97",2016
GTM,Guatemala,Purchasing power parity; 2017 international dollar,Units,,"7,820.91",2019
GIN,Guinea,Purchasing power parity; 2017 international dollar,Units,,"2,379.96",2014
GNB,Guinea-Bissau,Purchasing power parity; 2017 international dollar,Units,,"2,213.96",2017
GUY,Guyana,Purchasing power parity; 2017 international dollar,Units,,"16,423.30",2019
HTI,Haiti,Purchasing power parity; 2017 international dollar,Units,,"1,634.87",0
HND,Honduras,Purchasing power parity; 2017 international dollar,Units,,"5,239.21",2019
HKG,Hong Kong SAR,Purchasing power parity; 2017 international dollar,Units,,"55,028.32",2019
HUN,Hungary,Purchasing power parity; 2017 international dollar,Units,,"30,684.67",2019
ISL,Iceland,Purchasing power parity; 2017 international dollar,Units,,"51,544.03",2018
IND,India,Purchasing power parity; 2017 international dollar,Units,,"5,944.69",2013
IDN,Indonesia,Purchasing power parity; 2017 international dollar,Units,,"11,679.35",2019
IRN,Islamic Republic of Iran,Purchasing power parity; 2017 international dollar,Units,,"11,318.14",2019
IRQ,Iraq,Purchasing power parity; 2017 international dollar,Units,,"9,415.34",2013
IRL,Ireland,Purchasing power parity; 2017 international dollar,Units,,"84,562.32",2019
ISR,Israel,Purchasing power parity; 2017 international dollar,Units,,"37,015.73",2019
ITA,Italy,Purchasing power parity; 2017 international dollar,Units,,"37,904.74",2019
JAM,Jamaica,Purchasing power parity; 2017 international dollar,Units,,"9,670.08",2019
JPN,Japan,Purchasing power parity; 2017 international dollar,Units,,"39,391.14",2019
JOR,Jordan,Purchasing power parity; 2017 international dollar,Units,,"9,467.27",2018
KAZ,Kazakhstan,Purchasing power parity; 2017 international dollar,Units,,"25,155.19",2018
KEN,Kenya,Purchasing power parity; 2017 international dollar,Units,,"4,724.02",2019
KIR,Kiribati,Purchasing power parity; 2017 international dollar,Units,,"2,010.93",2017
KOR,Korea,Purchasing power parity; 2017 international dollar,Units,,"41,903.49",2018
UVK,Kosovo,Purchasing power parity; 2017 international dollar,Units,,"10,422.61",0
KWT,Kuwait,Purchasing power parity; 2017 international dollar,Units,,"39,483.94",2018
KGZ,Kyrgyz Republic,Purchasing power parity; 2017 international dollar,Units,,"4,564.11",2019
LAO,Lao P.D.R.,Purchasing power parity; 2017 international dollar,Units,,"7,777.53",2018
LVA,Latvia,Purchasing power parity; 2017 international dollar,Units,,"28,929.69",2019
LBN,Lebanon,Purchasing power parity; 2017 international dollar,Units,,"10,938.59",2012
LSO,Lesotho,Purchasing power parity; 2017 international dollar,Units,,"2,730.68",2016
LBR,Liberia,Purchasing power parity; 2017 international dollar,Units,,"1,452.90",2016
LBY,Libya,Purchasing power parity; 2017 international dollar,Units,,"4,490.09",2017
LTU,Lithuania,Purchasing power parity; 2017 international dollar,Units,,"36,522.78",2019
LUX,Luxembourg,Purchasing power parity; 2017 international dollar,Units,,"106,787.70",2018
MAC,Macao SAR,Purchasing power parity; 2017 international dollar,Units,,"55,752.37",2019
MDG,Madagascar,Purchasing power parity; 2017 international dollar,Units,,"1,558.32",2010
MWI,Malawi,Purchasing power parity; 2017 international dollar,Units,,941.595,2011
MYS,Malaysia,Purchasing power parity; 2017 international dollar,Units,,"25,815.75",2019
MDV,Maldives,Purchasing power parity; 2017 international dollar,Units,,"21,726.25",2014
MLI,Mali,Purchasing power parity; 2017 international dollar,Units,,"2,290.43",2017
MLT,Malta,Purchasing power parity; 2017 international dollar,Units,,"40,762.86",2019
MHL,Marshall Islands,Purchasing power parity; 2017 international dollar,Units,,"3,581.59",2018
MRT,Mauritania,Purchasing power parity; 2017 international dollar,Units,,"5,484.33",2014
MUS,Mauritius,Purchasing power parity; 2017 international dollar,Units,,"19,601.26",2018
MEX,Mexico,Purchasing power parity; 2017 international dollar,Units,,"17,790.33",2019
FSM,Micronesia,Purchasing power parity; 2017 international dollar,Units,,"3,260.65",2018
MDA,Moldova,Purchasing power parity; 2017 international dollar,Units,,"12,538.15",2019
MNG,Mongolia,Purchasing power parity; 2017 international dollar,Units,,"11,597.92",2019
MNE,Montenegro,Purchasing power parity; 2017 international dollar,Units,,"18,855.65",2019
MAR,Morocco,Purchasing power parity; 2017 international dollar,Units,,"7,198.40",2018
