iso3,status
AFG,Emerging Market and Developing Economy
ALB,Emerging Market and Developing Economy
DZA,Emerging Market and Developing Economy
AGO,Emerging Market and Developing Economy
ATG,Emerging Market and Developing Economy
ARG,Emerging Market and Developing Economy
ARM,Emerging Market and Developing Economy
ABW,Emerging Market and Developing Economy
AUS,Advanced Economy
AUT,Advanced Economy
AZE,Emerging Market and Developing Economy
BHR,Emerging Market and Developing Economy
BGD,Emerging Market and Developing Economy
BRB,Emerging Market and Developing Economy
BLR,Emerging Market and Developing Economy
BEL,Advanced Economy
BLZ,Emerging Market and Developing Economy
BEN,Emerging Market and Developing Economy
BTN,Emerging Market and Developing Economy
BOL,Emerging Market and Developing Economy
BIH,Emerging Market and Developing Economy
BWA,Emerging Market and Developing Economy
BRA,Emerging Market and Developing Economy
BRN,Emerging Market and Developing Economy
BGR,Emerging Market and Developing Economy
BFA,Emerging Market and Developing Economy
BDI,Emerging Market and Developing Economy
CPV,Emerging Market and Developing Economy
KHM,Emerging Market and Developing Economy
CMR,Emerging Market and Developing Economy
CAN,Major Advanced Economy
CAF,Emerging Market and Developing Economy
TCD,Emerging Market and Developing Economy
CHL,Emerging Market and Developing Economy
CHN,Emerging Market and Developing Economy
COL,Emerging Market and Developing Economy
COM,Emerging Market and Developing Economy
CRI,Emerging Market and Developing Economy
CIV,Emerging Market and Developing Economy
HRV,Emerging Market and Developing Economy
CYP,Advanced Economy
CZE,Advanced Economy
COD,Emerging Market and Developing Economy
DNK,Advanced Economy
DJI,Emerging Market and Developing Economy
DMA,Emerging Market and Developing Economy
DOM,Emerging Market and Developing Economy
ECU,Emerging Market and Developing Economy
EGY,Emerging Market and Developing Economy
SLV,Emerging Market and Developing Economy
GNQ,Emerging Market and Developing Economy
ERI,Emerging Market and Developing Economy
EST,Advanced Economy
SWZ,Emerging Market and Developing Economy
ETH,Emerging Market and Developing Economy
FJI,Emerging Market and Developing Economy
FIN,Advanced Economy
FRA,Major Advanced Economy
