code,iso,country,region,EPI.new,HLT.new,AIR.new,PMD.new,HAD.new,OZD.new,H2O.new,USD.new,UWD.new,HMT.new,PBD.new,WMG.new,MSW.new,ECO.new,BDH.new,TBN.new,TBG.new,MPA.new,PAR.new,SHI.new,SPI.new,BHV.new,ECS.new,TCL.new,GRL.new,WTL.new,FSH.new,FSS.new,RMS.new,FGT.new,CCH.new,CDA.new,CHA.new,FGA.new,NDA.new,BCA.new,LCB.new,GIB.new,GHP.new,APE.new,SDA.new,NXA.new,AGR.new,SNM.new,WRS.new,WWT.new,EPI.rgn.mean,EPI.rgn.rank,HLT.rgn.mean,HLT.rgn.rank,AIR.rgn.mean,AIR.rgn.rank,PMD.rgn.mean,PMD.rgn.rank,HAD.rgn.mean,HAD.rgn.rank,OZD.rgn.mean,OZD.rgn.rank,H2O.rgn.mean,H2O.rgn.rank,USD.rgn.mean,USD.rgn.rank,UWD.rgn.mean,UWD.rgn.rank,HMT.rgn.mean,HMT.rgn.rank,PBD.rgn.mean,PBD.rgn.rank,WMG.rgn.mean,WMG.rgn.rank,MSW.rgn.mean,MSW.rgn.rank,ECO.rgn.mean,ECO.rgn.rank,BDH.rgn.mean,BDH.rgn.rank,TBN.rgn.mean,TBN.rgn.rank,TBG.rgn.mean,TBG.rgn.rank,MPA.rgn.mean,MPA.rgn.rank,PAR.rgn.mean,PAR.rgn.rank,SHI.rgn.mean,SHI.rgn.rank,SPI.rgn.mean,SPI.rgn.rank,BHV.rgn.mean,BHV.rgn.rank,ECS.rgn.mean,ECS.rgn.rank,TCL.rgn.mean,TCL.rgn.rank,GRL.rgn.mean,GRL.rgn.rank,WTL.rgn.mean,WTL.rgn.rank,FSH.rgn.mean,FSH.rgn.rank,FSS.rgn.mean,FSS.rgn.rank,RMS.rgn.mean,RMS.rgn.rank,FGT.rgn.mean,FGT.rgn.rank,CCH.rgn.mean,CCH.rgn.rank,CDA.rgn.mean,CDA.rgn.rank,CHA.rgn.mean,CHA.rgn.rank,FGA.rgn.mean,FGA.rgn.rank,NDA.rgn.mean,NDA.rgn.rank,BCA.rgn.mean,BCA.rgn.rank,LCB.rgn.mean,LCB.rgn.rank,GIB.rgn.mean,GIB.rgn.rank,GHP.rgn.mean,GHP.rgn.rank,APE.rgn.mean,APE.rgn.rank,SDA.rgn.mean,SDA.rgn.rank,NXA.rgn.mean,NXA.rgn.rank,AGR.rgn.mean,AGR.rgn.rank,SNM.rgn.mean,SNM.rgn.rank,WRS.rgn.mean,WRS.rgn.rank,WWT.rgn.mean,WWT.rgn.rank
4,AFG,Afghanistan,Southern Asia,25.5,20,17.7,25.4,7.3,16.9,28,28.5,27.7,0,0,0,0,29.2,21.9,0.6,1.3,NA,5,90.7,18,57.7,93.6,95,60.9,100,NA,NA,NA,NA,22.2,0,66.1,NA,34.1,15.7,100,50.6,100,0,0,0,51,51,0,0,32.725,8,26.775,6,23.65,5,27.75,4,19.425,8,12.2375,3,30.8125,4,32.875,5,29.4375,4,33.1875,8,33.1875,8,19.55,8,19.55,8,36.7125,7,45.7375,7,47.3,8,53.575,8,7.84,6,19.75,7,88.82857143,4,64.08571429,7,47.7875,1,59.3875,1,58.0125,1,64.3,4,79.12857143,1,20.4,6,15.66,6,18.98,6,32.6,5,32.5625,8,14.4375,6,67.75,5,93.45,4,49.8375,6,40.175,7,56.85714286,1,45.9125,3,77.7,1,31.7,8,36.65,8,26.7375,8,39.25,1,39.25,1,0.825,4,0.825,4
24,AGO,Angola,Sub-Saharan Africa,29.7,20.4,26.8,32.6,17.8,34.4,12.8,14.1,11.9,37.3,37.3,0,0,35.9,39.3,34.1,36.6,0,29.8,88.3,66.6,67.2,33.7,31.2,49.3,63.5,14.7,16.9,21.3,4.4,49,30.3,100,89.3,63.2,7.1,27.2,53.9,60.3,2.6,5.2,0,29.3,29.3,0,0,33.20217391,31,22.73478261,24,28.01086957,22,35.92608696,29,16.07173913,12,36.43478261,21,15.92173913,27,16.70434783,21,15.41304348,29,41.35,28,41.35,28,5.652173913,21,5.652173913,21,40.18695652,31,58.58913043,35,68.97826087,36,71.34347826,37,14.53333333,20,30.38695652,21,84.34878049,23,75.70487805,32,55.5826087,9,40.82608696,20,36.69545455,18,55.23777778,25,63.00227273,17,12.29333333,9,13.74166667,6,13.25862069,6,5.89,5,37.82608696,10,24.81956522,17,54.52826087,1,89.78333333,13,53.02391304,16,42.35652174,44,37.33255814,28,54.18913043,22,75.61086957,36,46.05652174,44,50.15869565,43,41.95217391,45,32.8826087,31,32.8826087,31,1.519565217,22,1.519565217,22
8,ALB,Albania,Eastern Europe,49,44.5,41.2,44.2,34.6,60.1,54,59.7,50.2,46.1,46.1,0,0,52,68.2,100,100,14.7,38.6,82.1,92.2,39.6,43.2,41.1,70.2,54.4,8.9,NA,16.2,0.4,56.8,41.2,79.2,89.4,61.9,100,78.4,36.4,58.3,100,100,100,37.6,37.6,2.7,2.7,59.91052632,16,58.42631579,17,49.76315789,14,45.43684211,9,55.73684211,17,49.72105263,5,67.51052632,18,74.27894737,18,62.97368421,18,65.34210526,17,65.34210526,17,65.58947368,19,65.58947368,19,60.9,16,70.31578947,13,81.75789474,1,83.18947368,1,57.25,9,36.56315789,8,84.81111111,14,84.26666667,14,46.41578947,16,36.35789474,5,33.95263158,6,60.51578947,4,55.74210526,9,15.63333333,9,11.62857143,18,23.83333333,8,5.745454545,11,67.31052632,18,60.66315789,18,85.72631579,14,89.01052632,12,70.40526316,13,79.11578947,1,58.13157895,1,49.22631579,16,31.62631579,1,92.73684211,1,94.28421053,1,91.22105263,1,53.09473684,16,53.09473684,16,41.73157895,16,41.73157895,16
784,ARE,United Arab Emirates,Greater Middle East,55.6,55.2,48.6,13.9,100,18.8,67.2,90.5,51.6,54.3,54.3,26.8,26.8,55.9,80.9,90.4,90.4,100,8.9,81.3,80.3,76.8,100,NA,100,100,14.5,13.5,15.6,NA,38.9,26.5,52.7,92.6,41.7,74.4,15,19.8,0,83.4,100,66.7,13.7,13.7,76.8,76.8,46.4875,2,48.7375,5,44.30625,6,19.79375,11,79.45,1,32.5625,16,56.19375,3,65.94375,2,49.6875,5,41.60625,5,41.60625,5,40.3375,11,40.3375,11,44.98125,1,43.45625,1,45.44375,3,44.3,3,18.24285714,1,9.825,8,89.20666667,11,55.53333333,3,66.175,3,59.91875,1,57.38181818,16,67.50769231,1,71.51333333,1,15.47142857,7,14.12222222,4,17.20714286,6,5.75,14,47.825,12,42.99375,13,50.29375,8,93.15454545,5,43.43125,9,46.84375,4,34.03076923,10,51.40625,16,32.775,12,68.35,4,76.425,1,60.26875,7,36.5125,16,36.5125,16,36.7,3,36.7,3
32,ARG,Argentina,Latin America & Caribbean,52.2,60.2,56.9,54.7,60.9,48.7,64.7,72.7,59.3,73.1,73.1,44.6,44.6,46.8,49.1,41.7,56.7,43,16.2,69.4,64.3,58.9,29.4,27.6,47.3,44.5,3.2,0.7,6.2,2.6,60.2,48.2,88.1,90.7,58,90.3,57.8,36.2,29.8,59.3,67.3,51.3,78.4,78.4,5.9,5.9,45.56875,5,46.84375,5,46.85,5,44.2875,6,48,8,65.684375,25,46.953125,4,52.01875,3,43.56875,3,50.76875,3,50.76875,3,42.1625,15,42.1625,15,44.71875,14,58.365625,24,73.253125,28,71.446875,23,31.74333333,9,52.36875,31,62.644,14,67.348,16,52.559375,9,32.60625,20,30.265625,19,59.44193548,23,49.59354839,16,13.41666667,30,9.228,22,15.53448276,28,15.11428571,7,51.653125,7,44.840625,14,65.15625,8,90.15,8,58.128125,19,45.5,4,61.29375,19,39.10625,21,50.79375,29,50.521875,12,55.71875,11,45.303125,14,32.653125,1,32.653125,1,9.68125,10,9.68125,10
51,ARM,Armenia,Former Soviet States,52.3,43.5,36.3,22.1,57,26.1,57.2,50.7,61.5,50.8,50.8,0,0,58.1,79.2,100,100,NA,19,92.4,74.5,48,81.5,82.4,45.8,100,NA,NA,NA,NA,46.7,39.3,54.7,89.4,0,57.6,97.3,23,60.3,46.8,50.6,43,57.6,57.6,8.8,8.8,45.7,2,40.69166667,6,34.3,6,24.76666667,8,46.93333333,4,38.225,9,50.50833333,2,49.01666667,6,51.5,1,48.01666667,6,48.01666667,6,19.08333333,7,19.08333333,7,49.04166667,1,48.925,1,41.45833333,1,46.15833333,1,14.7,9,16.5,6,90.40833333,7,68.91666667,7,56,8,66.35,4,66.075,4,59.03333333,12,77.28181818,1,7.033333333,9,7.8,9,10.73333333,9,3.166666667,9,50.50833333,8,44.63333333,8,49.9,6,88.5,5,33.925,10,46.88333333,4,83.275,7,49.24166667,12,41.50833333,4,58.38333333,8,60.84166667,9,55.925,8,50.53333333,4,50.53333333,4,12.4,7,12.4,7
28,ATG,Antigua and Barbuda,Latin America & Caribbean,48.5,55.5,57.5,44.6,69.8,100,50,57.5,45,60.5,60.5,75.1,75.1,43.8,55.7,90.3,87.3,1.2,53.8,NA,NA,34,38.8,35.4,39.8,100,5,1.4,8.6,NA,58.5,48.4,100,89.8,77.8,0,79.7,22,35.2,36.6,28.2,45,5.1,5.1,1.3,1.3,45.56875,10,46.84375,6,46.85,3,44.2875,17,48,4,65.684375,1,46.953125,11,52.01875,9,43.56875,15,50.76875,10,50.76875,10,42.1625,4,42.1625,4,44.71875,17,58.365625,21,73.253125,11,71.446875,10,31.74333333,23,52.36875,13,62.644,27,67.348,27,52.559375,32,32.60625,7,30.265625,11,59.44193548,26,49.59354839,1,13.41666667,28,9.228,21,15.53448276,25,15.11428571,13,51.653125,11,44.840625,13,65.15625,1,90.15,9,58.128125,6,45.5,30,61.29375,6,39.10625,27,50.79375,26,50.521875,23,55.71875,27,45.303125,16,32.653125,32,32.653125,32,9.68125,19,9.68125,19
36,AUS,Australia,Global West,74.9,91.6,98.2,100,98.8,73.8,87,96,81,77.2,77.2,77.3,77.3,63.8,83.7,89,82.5,100,40.4,87.3,92.4,73.4,27.9,24.5,44,72.9,3.4,0.7,NA,6.5,70.4,66.7,85.8,90.9,70.1,56.9,89.3,62.5,0,90.3,92.4,88.2,49.2,49.2,92.7,92.7,75.58636364,12,90.97727273,11,88.24090909,2,84.63181818,1,97.51818182,15,53.80909091,3,95.23181818,19,95.64545455,15,94.95909091,21,85.42272727,16,85.42272727,16,89.76818182,20,89.76818182,20,65.32727273,13,77.60909091,9,86.37272727,13,86.87727273,16,76.88421053,1,44.06818182,15,84.485,9,94.855,16,53.78181818,4,36.87727273,16,31.0047619,14,68.93636364,22,52.625,2,12.00526316,19,8.294444444,17,25.48461538,15,6.844444444,5,72.70454545,13,66.88181818,10,92.11363636,17,92.68636364,18,70.34545455,10,89.05454545,21,59.10952381,2,56.75909091,8,21.56363636,22,93.91363636,18,94.71363636,19,93.10909091,16,50.45909091,12,50.45909091,12,77.92727273,10,77.92727273,10
40,AUT,Austria,Global West,79.6,88,81.3,73.9,96.4,42.2,94.7,86.7,100,91.7,91.7,97.2,97.2,74,85.5,100,100,NA,63.7,84.7,81.2,54.7,35.6,32.5,69.9,57.3,NA,NA,NA,NA,71.3,62.8,100,87.8,66.9,100,76.7,42.7,23,100,100,100,68,68,94,94,75.58636364,6,90.97727273,15,88.24090909,17,84.63181818,17,97.51818182,19,53.80909091,19,95.23181818,16,95.64545455,19,94.95909091,1,85.42272727,11,85.42272727,11,89.76818182,9,89.76818182,9,65.32727273,4,77.60909091,6,86.37272727,1,86.87727273,1,76.88421053,20,44.06818182,3,84.485,12,94.855,19,53.78181818,9,36.87727273,8,31.0047619,7,68.93636364,12,52.625,8,12.00526316,20,8.294444444,19,25.48461538,16,6.844444444,19,72.70454545,11,66.88181818,13,92.11363636,1,92.68636364,20,70.34545455,15,89.05454545,1,59.10952381,3,56.75909091,19,21.56363636,11,93.91363636,1,94.71363636,1,93.10909091,1,50.45909091,3,50.45909091,3,77.92727273,9,77.92727273,9
31,AZE,Azerbaijan,Former Soviet States,46.5,32.7,24.9,12.7,40.7,33.1,45.5,44.3,46.4,41,41,0,0,55.7,56.9,50.7,62.2,NA,11.7,96,77.3,44.4,80.5,80.2,65.2,100,NA,NA,NA,NA,48.6,42.4,43.8,88.9,60.9,37.4,100,27.7,40.3,100,100,100,64.3,64.3,3.8,3.8,45.7,5,40.69166667,10,34.3,10,24.76666667,9,46.93333333,7,38.225,8,50.50833333,10,49.01666667,10,51.5,11,48.01666667,9,48.01666667,9,19.08333333,7,19.08333333,7,49.04166667,2,48.925,4,41.45833333,6,46.15833333,3,14.7,5,16.5,9,90.40833333,3,68.91666667,5,56,10,66.35,5,66.075,6,59.03333333,3,77.28181818,1,7.033333333,5,7.8,5,10.73333333,5,3.166666667,5,50.50833333,7,44.63333333,7,49.9,9,88.5,7,33.925,2,46.88333333,7,83.275,1,49.24166667,10,41.50833333,8,58.38333333,1,60.84166667,1,55.925,1,50.53333333,2,50.53333333,2,12.4,9,12.4,9
