iso3,region,EPI.new,HLT.new,AIR.new,H2O.new,HMT.new,WMG.new,ECO.new,BDH.new,ECS.new,FSH.new,CCH.new,APE.new,AGR.new,WRS.new
AFG,Southern Asia,25.5,20.0,17.7,28.0,0.0,0.0,29.2,21.9,93.6,,22.2,0.0,51.0,0.0
AGO,Sub-Saharan Africa,29.7,20.4,26.8,12.8,37.3,0.0,35.9,39.3,33.7,14.7,49.0,2.6,29.3,0.0
ALB,Eastern Europe,49.0,44.5,41.2,54.0,46.1,0.0,52.0,68.2,43.2,8.9,56.8,100.0,37.6,2.7
ARE,Greater Middle East,55.6,55.2,48.6,67.2,54.3,26.8,55.9,80.9,100.0,14.5,38.9,83.4,13.7,76.8
ARG,Latin America & Caribbean,52.2,60.2,56.9,64.7,73.1,44.6,46.8,49.1,29.4,3.2,60.2,59.3,78.4,5.9
ARM,Former Soviet States,52.3,43.5,36.3,57.2,50.8,0.0,58.1,79.2,81.5,,46.7,46.8,57.6,8.8
ATG,Latin America & Caribbean,48.5,55.5,57.5,50.0,60.5,75.1,43.8,55.7,38.8,5.0,58.5,36.6,5.1,1.3
AUS,Global West,74.9,91.6,98.2,87.0,77.2,77.3,63.8,83.7,27.9,3.4,70.4,90.3,49.2,92.7
AUT,Global West,79.6,88.0,81.3,94.7,91.7,97.2,74.0,85.5,35.6,,71.3,100.0,68.0,94.0
AZE,Former Soviet States,46.5,32.7,24.9,45.5,41.0,0.0,55.7,56.9,80.5,,48.6,100.0,64.3,3.8
BDI,Sub-Saharan Africa,27.0,21.9,36.0,5.3,35.8,0.0,30.5,52.3,34.7,,16.8,45.7,37.0,0.0
BEL,Global West,73.3,86.0,80.7,93.6,67.4,97.6,64.8,87.4,32.5,9.0,70.2,100.0,47.3,67.9
BEN,Sub-Saharan Africa,30.0,20.3,25.6,13.4,36.8,5.8,36.4,67.0,24.4,11.7,30.7,33.4,42.7,0.0
BFA,Sub-Saharan Africa,38.3,19.6,28.9,7.7,29.7,10.2,50.9,77.8,95.5,,31.9,40.6,39.7,0.0
BGD,Southern Asia,29.0,22.4,20.2,27.3,23.2,5.0,33.5,46.8,22.8,19.6,35.6,15.3,49.9,0.0
BGR,Eastern Europe,57.0,50.3,33.0,68.3,45.8,83.6,61.5,77.7,41.4,12.9,69.5,100.0,63.6,13.9
BHR,Greater Middle East,51.0,49.2,41.2,56.6,58.7,60.4,52.2,18.9,100.0,0.0,67.1,93.1,33.2,86.9
BHS,Latin America & Caribbean,43.5,53.1,55.6,55.0,67.1,0.0,37.0,78.8,31.6,9.9,28.7,18.0,14.0,1.4
BIH,Eastern Europe,45.4,43.9,31.6,61.4,42.9,27.9,46.4,32.9,53.4,,57.5,78.1,25.1,1.1
BLR,Former Soviet States,53.0,55.9,49.9,60.5,57.7,77.5,51.1,61.2,27.9,,53.1,80.4,45.9,7.2
BLZ,Latin America & Caribbean,41.9,40.3,39.4,42.6,54.5,17.0,43.0,87.9,23.5,19.8,37.7,11.4,19.9,0.6
BOL,Latin America & Caribbean,44.3,35.9,32.4,40.0,43.7,31.1,49.8,83.6,30.0,,40.0,26.4,68.9,3.5
BRA,Latin America & Caribbean,51.2,49.7,50.0,46.1,58.9,65.8,52.2,78.1,27.9,8.3,51.7,54.0,65.0,49.3
BRB,Latin America & Caribbean,45.6,60.7,66.0,51.9,70.4,67.2,35.6,12.6,37.1,18.4,59.1,53.3,11.9,1.1
BRN,Asia-Pacific,54.8,74.0,68.4,85.6,68.4,42.5,42.0,59.2,34.4,9.3,50.9,41.8,0.0,6.0
BTN,Southern Asia,39.3,29.8,24.4,31.2,43.3,59.7,45.7,87.2,60.2,,24.7,18.2,50.2,0.0
BWA,Sub-Saharan Africa,40.4,20.2,19.7,20.8,39.8,0.7,53.8,91.6,66.1,,37.9,70.0,4.8,1.0
CAF,Sub-Saharan Africa,36.9,12.2,22.0,0.0,24.0,0.0,53.5,84.7,50.7,,45.4,51.8,21.9,0.0
CAN,Global West,71.0,91.7,94.8,88.0,96.6,84.7,57.3,60.5,30.1,11.0,65.7,100.0,67.3,67.4
CHE,Global West,81.5,95.0,90.6,100.0,95.0,99.0,72.5,63.0,46.4,,81.6,100.0,47.6,96.7
