iso3,Status,GDP,Population
AFG,Emerging Market and Developing Economy,1961.1,38.055
ALB,Emerging Market and Developing Economy,12915.12,2.865
DZA,Emerging Market and Developing Economy,10445.13,44.227
AGO,Emerging Market and Developing Economy,6602.07,31.031
ATG,Emerging Market and Developing Economy,17648.97,0.098
ARG,Emerging Market and Developing Economy,19271.09,45.388
ARM,Emerging Market and Developing Economy,12994.72,2.97
ABW,Emerging Market and Developing Economy,25703.88,0.113
AUS,Advanced Economy,48102.65,25.724
AUT,Advanced Economy,52418.01,8.901
AZE,Emerging Market and Developing Economy,13717.09,10.101
BHR,Emerging Market and Developing Economy,46411.78,1.513
BGD,Emerging Market and Developing Economy,4861.45,168.312
BRB,Emerging Market and Developing Economy,13782.52,0.288
BLR,Emerging Market and Developing Economy,18693.05,9.408
BEL,Advanced Economy,47411.52,11.49
BLZ,Emerging Market and Developing Economy,5387.97,0.417
BEN,Emerging Market and Developing Economy,3257.6,12.147
BTN,Emerging Market and Developing Economy,11407.29,0.754
BOL,Emerging Market and Developing Economy,7892.34,11.722
BIH,Emerging Market and Developing Economy,14091.34,3.279
BWA,Emerging Market and Developing Economy,15281.53,2.42
BRA,Emerging Market and Developing Economy,13777.45,211.422
BRN,Emerging Market and Developing Economy,58482.21,0.461
BGR,Emerging Market and Developing Economy,22460.68,6.912
BFA,Emerging Market and Developing Economy,2084.02,20.917
BDI,Emerging Market and Developing Economy,740.323,11.875
CPV,Emerging Market and Developing Economy,6603.68,0.557
KHM,Emerging Market and Developing Economy,4201.51,16.741
CMR,Emerging Market and Developing Economy,3509.73,26.144
CAN,Major Advanced Economy,45003.36,38.029
CAF,Emerging Market and Developing Economy,919.668,4.83
TCD,Emerging Market and Developing Economy,1530.53,16.426
CHL,Emerging Market and Developing Economy,22190.01,19.458
CHN,Emerging Market and Developing Economy,16277.74,1404.33
COL,Emerging Market and Developing Economy,13374.44,50.878
COM,Emerging Market and Developing Economy,2851.13,0.897
CRI,Emerging Market and Developing Economy,18267.96,5.129
CIV,Emerging Market and Developing Economy,5071.04,26.958
HRV,Emerging Market and Developing Economy,26188.45,4.045
CYP,Advanced Economy,36971.0,0.886
CZE,Advanced Economy,38120.24,10.694
COD,Emerging Market and Developing Economy,924.797,100.816
DNK,Advanced Economy,54665.18,5.812
DJI,Emerging Market and Developing Economy,4799.94,1.109
DMA,Emerging Market and Developing Economy,11430.99,0.071
DOM,Emerging Market and Developing Economy,17769.75,10.461
ECU,Emerging Market and Developing Economy,10044.57,17.511
EGY,Emerging Market and Developing Economy,12033.04,101.618
SLV,Emerging Market and Developing Economy,7947.99,6.486
GNQ,Emerging Market and Developing Economy,16823.43,1.406
ERI,Emerging Market and Developing Economy,1725.91,3.546
EST,Advanced Economy,35035.62,1.325
SWZ,Emerging Market and Developing Economy,8472.2,1.127
ETH,Emerging Market and Developing Economy,2622.48,98.131
FJI,Emerging Market and Developing Economy,10572.58,0.9
FIN,Advanced Economy,46673.32,5.527
FRA,Major Advanced Economy,43002.82,64.993
GAB,Emerging Market and Developing Economy,14998.69,2.108
GEO,Emerging Market and Developing Economy,14325.76,3.704
DEU,Major Advanced Economy,50682.06,83.151
GHA,Emerging Market and Developing Economy,5398.76,30.779
GRC,Advanced Economy,27478.68,10.699
GRD,Emerging Market and Developing Economy,15566.97,0.109
GTM,Emerging Market and Developing Economy,7820.91,17.971
GIN,Emerging Market and Developing Economy,2379.96,13.967
GNB,Emerging Market and Developing Economy,2213.96,1.815
GUY,Emerging Market and Developing Economy,16423.3,0.787
HTI,Emerging Market and Developing Economy,1634.87,11.403
HND,Emerging Market and Developing Economy,5239.21,9.942
HKG,Advanced Economy,55028.32,7.555
HUN,Emerging Market and Developing Economy,30684.67,9.753
ISL,Advanced Economy,51544.03,0.364
IND,Emerging Market and Developing Economy,5944.69,1381.59
IDN,Emerging Market and Developing Economy,11679.35,269.603
IRQ,Emerging Market and Developing Economy,9415.34,40.132
IRL,Advanced Economy,84562.32,5.009
IRN,Emerging Market and Developing Economy,11318.14,84.149
ISR,Advanced Economy,37015.73,9.226
ITA,Major Advanced Economy,37904.74,60.287
JAM,Emerging Market and Developing Economy,9670.08,2.725
JPN,Major Advanced Economy,39391.14,125.758
JOR,Emerging Market and Developing Economy,9467.27,10.209
KAZ,Emerging Market and Developing Economy,25155.19,18.872
KEN,Emerging Market and Developing Economy,4724.02,48.693
KIR,Emerging Market and Developing Economy,2010.93,0.119
KOR,Advanced Economy,41903.49,51.781
UVK,Emerging Market and Developing Economy,10422.61,1.807
KWT,Emerging Market and Developing Economy,39483.94,4.883
KGZ,Emerging Market and Developing Economy,4564.11,6.517
LAO,Emerging Market and Developing Economy,7777.53,7.266
LVA,Advanced Economy,28929.69,1.916
LBN,Emerging Market and Developing Economy,10938.59,6.825
LSO,Emerging Market and Developing Economy,2730.68,2.062
LBR,Emerging Market and Developing Economy,1452.9,4.694
LBY,Emerging Market and Developing Economy,4490.09,6.644
LTU,Advanced Economy,36522.78,2.769
LUX,Advanced Economy,106787.7,0.626
MAC,Advanced Economy,55752.37,0.68
MDG,Emerging Market and Developing Economy,1558.32,27.578
MWI,Emerging Market and Developing Economy,941.595,20.873
MYS,Emerging Market and Developing Economy,25815.75,32.998
MDV,Emerging Market and Developing Economy,21726.25,0.378
MLI,Emerging Market and Developing Economy,2290.43,19.667
MLT,Advanced Economy,40762.86,0.502
MHL,Emerging Market and Developing Economy,3581.59,0.055
MRT,Emerging Market and Developing Economy,5484.33,4.147
MUS,Emerging Market and Developing Economy,19601.26,1.267
MEX,Emerging Market and Developing Economy,17790.33,128.933
FSM,Emerging Market and Developing Economy,3260.65,0.103
MDA,Emerging Market and Developing Economy,12538.15,2.634
MNG,Emerging Market and Developing Economy,11597.92,3.355
MNE,Emerging Market and Developing Economy,18855.65,0.623
MAR,Emerging Market and Developing Economy,7198.4,35.952
MOZ,Emerging Market and Developing Economy,1210.15,31.993
MMR,Emerging Market and Developing Economy,4899.65,53.199
NAM,Emerging Market and Developing Economy,9022.96,2.53
NRU,Emerging Market and Developing Economy,9342.49,0.013
NPL,Emerging Market and Developing Economy,3392.14,28.827
NLD,Advanced Economy,54021.85,17.281
NZL,Advanced Economy,38857.3,5.004
NIC,Emerging Market and Developing Economy,5146.14,6.496
NER,Emerging Market and Developing Economy,1185.08,24.207
NGA,Emerging Market and Developing Economy,4792.36,206.14
MKD,Emerging Market and Developing Economy,15713.57,2.079
NOR,Advanced Economy,61358.71,5.389
OMN,Emerging Market and Developing Economy,28295.1,4.32
PAK,Emerging Market and Developing Economy,4881.9,208.57
PLW,Emerging Market and Developing Economy,13395.12,0.018
PAN,Emerging Market and Developing Economy,28414.38,4.279
PNG,Emerging Market and Developing Economy,3652.65,8.781
PRY,Emerging Market and Developing Economy,11828.4,7.253
PER,Emerging Market and Developing Economy,10895.05,33.494
PHL,Emerging Market and Developing Economy,8111.32,108.928
POL,Emerging Market and Developing Economy,31919.16,37.958
PRT,Advanced Economy,31344.39,10.261
PRI,Advanced Economy,33110.83,3.12
QAT,Emerging Market and Developing Economy,86941.04,2.802
COG,Emerging Market and Developing Economy,4004.68,4.682
ROU,Emerging Market and Developing Economy,28515.48,19.404
RUS,Emerging Market and Developing Economy,25916.48,146.812
RWA,Emerging Market and Developing Economy,2263.53,12.665
WSM,Emerging Market and Developing Economy,5247.84,0.203
SMR,Advanced Economy,53632.25,0.034
STP,Emerging Market and Developing Economy,3629.91,0.218
SAU,Emerging Market and Developing Economy,43777.35,34.764
SEN,Emerging Market and Developing Economy,3276.07,16.771
SRB,Emerging Market and Developing Economy,17824.23,6.936
SYC,Emerging Market and Developing Economy,24964.86,0.097
SLE,Emerging Market and Developing Economy,1618.58,7.984
SGP,Advanced Economy,90447.36,5.77
SVK,Advanced Economy,30448.59,5.458
SVN,Advanced Economy,36429.8,2.069
SLB,Emerging Market and Developing Economy,2310.38,0.655
ZAF,Emerging Market and Developing Economy,11269.06,59.671
SSD,Emerging Market and Developing Economy,836.027,13.779
ESP,Advanced Economy,36086.1,46.492
LKA,Emerging Market and Developing Economy,12406.39,21.937
KNA,Emerging Market and Developing Economy,19894.0,0.057
LCA,Emerging Market and Developing Economy,12968.59,0.181
VCT,Emerging Market and Developing Economy,11606.01,0.111
SDN,Emerging Market and Developing Economy,3547.18,44.345
SUR,Emerging Market and Developing Economy,13817.38,0.604
SWE,Advanced Economy,49646.44,10.51
CHE,Advanced Economy,64654.1,8.647
TWN,Advanced Economy,51106.56,23.617
TJK,Emerging Market and Developing Economy,3367.56,9.475
TZA,Emerging Market and Developing Economy,2696.89,58.001
THA,Emerging Market and Developing Economy,17098.17,69.8
BHS,Emerging Market and Developing Economy,31984.26,0.385
GMB,Emerging Market and Developing Economy,2118.19,2.419
TLS,Emerging Market and Developing Economy,3814.07,1.318
TGO,Emerging Market and Developing Economy,1551.15,8.285
TON,Emerging Market and Developing Economy,5746.48,0.1
TTO,Emerging Market and Developing Economy,24564.12,1.403
TUN,Emerging Market and Developing Economy,9821.78,11.903
TUR,Emerging Market and Developing Economy,26767.71,84.174
TKM,Emerging Market and Developing Economy,15809.78,5.944
TUV,Emerging Market and Developing Economy,4238.41,0.011
UGA,Emerging Market and Developing Economy,2445.8,41.222
UKR,Emerging Market and Developing Economy,12024.9,41.536
ARE,Emerging Market and Developing Economy,55312.9,11.077
GBR,Major Advanced Economy,41899.45,67.255
USA,Major Advanced Economy,59651.0,330.005
URY,Emerging Market and Developing Economy,20187.4,3.531
UZB,Emerging Market and Developing Economy,6980.11,33.906
VUT,Emerging Market and Developing Economy,2506.18,0.3
VEN,Emerging Market and Developing Economy,5259.27,27.951
VNM,Emerging Market and Developing Economy,10174.53,97.384
WBG,Emerging Market and Developing Economy,5029.64,5.097
YEM,Emerging Market and Developing Economy,1826.98,32.471
ZMB,Emerging Market and Developing Economy,3124.2,18.882
ZWE,Emerging Market and Developing Economy,2443.71,15.189
