iso3,Country,Risk Description,2020,Exposure,Vulnerability,Susceptibility,Lack of Coping Capacities,Lack of Adaptive Capacities,2019,2018,2017,2016
AFG,Afghanistan,High,8.69,12.99,66.93,49.1,59.61,92.09,9.21,10.45,9.69,9.5
AGO,Angola,High,10.4,15.74,66.1,53.29,58.21,86.8,10.56,10.31,6.57,6.52
ALB,Albania,High,8.46,20.14,42.0,20.03,30.97,74.99,8.18,9.22,9.93,9.5
ARE,United Arab Emirates,Low,3.3,10.99,30.01,9.55,25.86,54.61,3.66,2.99,1.98,1.97
ARG,Argentina,Low,3.5,9.55,36.7,20.78,30.41,58.91,3.53,3.32,3.69,3.56
ARM,Armenia,Medium,5.73,14.55,39.37,20.21,28.67,69.22,5.72,6.06,6.49,6.07
AUS,Australia,Low,4.54,18.08,25.1,15.61,16.17,43.53,4.49,4.41,4.24,4.22
AUT,Austria,Very Low,3.06,13.19,23.18,14.08,15.35,40.1,2.87,2.92,3.63,3.39
AZE,Azerbaijan,Medium,5.72,14.31,39.98,17.8,30.71,71.43,5.73,5.46,5.99,5.54
BDI,Burundi,High,10.34,14.74,70.14,62.2,57.53,90.68,10.29,8.99,10.48,10.28
BEL,Belgium,Very Low,2.66,11.38,23.37,14.79,14.59,40.74,2.79,2.77,3.33,3.07
BEN,Benin,Very High,11.46,17.5,65.48,55.2,60.03,81.2,12.33,11.04,11.39,11.39
BFA,Burkina Faso,Very High,11.19,16.54,67.67,57.63,61.16,84.22,11.14,9.82,9.62,9.54
BGD,Bangladesh,Very High,16.4,28.28,57.98,33.21,54.91,85.81,18.78,17.38,19.57,19.17
BGR,Bulgaria,Low,4.17,11.88,35.12,21.18,24.81,59.38,4.08,4.09,4.34,4.22
BHR,Bahrain,Very Low,2.91,7.33,39.64,15.57,27.36,76.0,2.89,2.73,1.77,1.69
BHS,Bahamas,Low,4.38,11.77,37.25,18.24,35.07,58.45,4.31,4.34,4.14,4.14
BIH,Bosnia and Herzegovina,Low,4.8,11.18,42.95,18.65,35.95,74.24,4.71,4.67,6.31,6.1
BLR,Belarus,Very Low,2.67,7.96,33.5,16.49,25.33,58.67,2.59,2.77,3.19,3.11
BLZ,Belize,High,7.95,16.82,47.24,27.94,40.26,73.53,8.02,7.73,6.6,6.55
BOL,Plurinational State of Bolivia,Low,4.78,9.56,50.01,32.36,37.71,79.97,4.91,4.58,4.93,4.58
BRA,Brazil,Low,4.91,11.33,43.33,22.57,31.14,76.28,4.79,4.25,4.23,4.09
BRB,Barbados,Very Low,1.39,3.66,37.94,20.56,32.65,60.62,1.35,1.4,1.21,1.32
BRN,Brunei Darussalam,Very High,22.3,57.61,38.7,14.75,33.35,67.99,21.68,18.82,16.22,17.0
BTN,Bhutan,Very Low,2.97,6.27,47.4,24.17,45.2,72.82,3.31,7.56,7.84,7.51
BWA,Botswana,Low,4.2,8.82,47.59,31.46,39.35,71.97,4.28,4.94,5.32,5.14
CAF,Central African Republic,High,7.79,10.2,76.34,70.83,67.32,90.88,7.75,6.44,6.81,7.03
CAN,Canada,Very Low,2.79,10.36,26.89,15.17,18.77,46.73,3.03,2.63,3.13,3.01
CHE,Switzerland,Very Low,2.15,9.01,23.9,13.91,19.32,38.46,2.05,2.23,2.5,2.37
CHL,Chile,Very High,12.05,33.41,36.07,17.83,28.02,62.35,12.45,11.15,11.74,11.65
CHN,China,Medium,5.84,14.3,40.85,20.98,29.5,72.07,5.84,5.8,6.81,6.39
CMR,Cameroon,Very High,12.97,20.34,63.79,47.71,54.97,88.7,12.87,11.81,11.19,10.91
COG,Republic of Congo,Medium,6.81,10.65,63.91,53.92,49.24,88.58,7.05,6.52,7.4,7.19
COL,Colombia,Medium,6.65,14.65,45.38,22.73,35.97,77.45,6.59,6.42,6.76,6.45
COM,Comoros,Very High,14.88,23.77,62.6,46.02,57.34,84.45,14.63,8.36,7.44,7.29
CPV,Cape Verde,Very High,17.73,37.23,47.61,29.35,40.65,72.84,18.02,11.52,10.51,10.39
CRI,Costa Rica,Very High,17.25,43.49,39.67,20.03,30.08,68.89,17.37,16.56,17.16,17.0
CUB,Cuba,Medium,5.84,16.53,35.34,19.48,32.86,53.67,5.7,6.06,6.35,6.13
CYP,Cyprus,Very Low,2.99,8.42,35.57,15.15,24.4,67.16,2.87,2.53,2.76,2.68
CZE,Czech Republic,Very Low,3.0,10.77,27.89,14.77,20.83,48.08,2.99,3.1,3.52,3.37
DEU,Germany,Very Low,2.63,11.52,22.81,14.98,16.08,37.36,2.43,2.42,3.09,2.95
DJI,Djibouti,Very High,16.23,26.79,60.6,37.81,59.59,84.39,16.46,13.9,9.99,10.3
DNK,Denmark,Very Low,2.74,11.85,23.12,14.91,15.31,39.13,2.65,2.68,2.99,2.89
