,iso3,Country,Economic Region,Risk Level,2020,Exposure,Vulnerability,Susceptibility,Lack of Coping Capacities,Lack of Adaptive Capacities,2019,2018,2017,2016,EPI.new,HLT.new,AIR.new,H2O.new,HMT.new,WMG.new,ECO.new,BDH.new,ECS.new,FSH.new,CCH.new,APE.new,AGR.new,WRS.new,Economic Development Status,GDP,Population,dup
93,LUX,Luxembourg,Global West,Very Low,2.5,9.56,26.18,12.4,20.03,46.1,2.36,2.16,2.55,2.43,82.3,92.6,87.2,98.6,96.1,96.2,75.4,85.5,34.3,,77.5,100.0,42.2,98.5,Advanced Economy,106787.7,0.626,True
133,SGP,Singapore,Asia-Pacific,Very Low,2.57,8.87,28.97,11.29,21.6,54.03,2.51,2.31,2.36,2.27,58.1,85.0,76.9,93.2,85.4,99.6,40.2,20.9,18.4,71.4,40.2,79.5,19.7,100.0,Advanced Economy,90447.36,5.77,False
126,QAT,Qatar,Greater Middle East,Very Low,0.31,0.91,34.33,8.32,30.08,64.58,0.31,0.36,0.09,0.08,37.1,56.9,48.6,66.5,59.2,60.2,23.9,41.3,0.0,6.4,12.1,64.4,26.6,70.0,Emerging Market and Developing Economy,86941.04,2.802,False
71,IRL,Ireland,Global West,Low,4.5,16.68,26.96,15.74,17.64,47.49,4.37,4.06,4.56,4.6,72.8,94.2,94.0,97.4,82.7,81.7,58.6,65.8,27.4,9.1,66.6,100.0,47.3,89.7,Advanced Economy,84562.32,5.009,False
28,CHE,Switzerland,Global West,Very Low,2.15,9.01,23.9,13.91,19.32,38.46,2.05,2.23,2.5,2.37,81.5,95.0,90.6,100.0,95.0,99.0,72.5,63.0,46.4,,81.6,100.0,47.6,96.7,Advanced Economy,64654.1,8.647,False
114,NOR,Norway,Global West,Very Low,2.52,10.83,23.25,13.92,17.34,38.49,2.34,2.29,2.29,2.19,77.7,98.5,97.9,100.0,94.0,97.6,63.8,71.5,32.1,9.8,78.9,99.2,39.3,64.3,Advanced Economy,61358.71,5.389,False
158,USA,United States of America,Global West,Low,3.9,12.99,30.06,15.97,21.67,52.54,3.76,3.42,3.9,3.76,69.3,82.8,84.2,86.1,75.9,48.3,60.3,67.5,26.8,6.6,71.4,100.0,71.9,58.9,Major Advanced Economy,59651.0,330.005,True
23,BRN,Brunei Darussalam,Asia-Pacific,Very High,22.3,57.61,38.7,14.75,33.35,67.99,21.68,18.82,16.22,17.0,54.8,74.0,68.4,85.6,68.4,42.5,42.0,59.2,34.4,9.3,50.9,41.8,0.0,6.0,Emerging Market and Developing Economy,58482.21,0.461,False
3,ARE,United Arab Emirates,Greater Middle East,Low,3.3,10.99,30.01,9.55,25.86,54.61,3.66,2.99,1.98,1.97,55.6,55.2,48.6,67.2,54.3,26.8,55.9,80.9,100.0,14.5,38.9,83.4,13.7,76.8,Emerging Market and Developing Economy,55312.9,11.077,False
41,DNK,Denmark,Global West,Very Low,2.74,11.85,23.12,14.91,15.31,39.13,2.65,2.68,2.99,2.89,82.5,91.7,85.5,97.4,100.0,99.8,76.4,81.7,30.2,13.2,95.0,100.0,73.0,100.0,Advanced Economy,54665.18,5.812,False
9,BDI,Burundi,Sub-Saharan Africa,High,10.34,14.74,70.14,62.2,57.53,90.68,10.29,8.99,10.48,10.28,27.0,21.9,36.0,5.3,35.8,0.0,30.5,52.3,34.7,,16.8,45.7,37.0,0.0,Emerging Market and Developing Economy,740.323,11.875,False
26,CAF,Central African Republic,Sub-Saharan Africa,High,7.79,10.2,76.34,70.83,67.32,90.88,7.75,6.44,6.81,7.03,36.9,12.2,22.0,0.0,24.0,0.0,53.5,84.7,50.7,,45.4,51.8,21.9,0.0,Emerging Market and Developing Economy,919.668,4.83,False
107,MWI,Malawi,Sub-Saharan Africa,High,8.89,13.22,67.24,59.28,57.8,84.65,8.94,8.02,8.13,7.98,38.3,26.5,39.6,12.0,37.4,0.0,46.2,84.2,22.8,,34.2,53.1,39.0,0.0,Emerging Market and Developing Economy,941.595,20.873,False
110,NER,Niger,Sub-Saharan Africa,Very High,13.85,19.26,71.9,60.64,67.19,87.87,13.77,11.34,11.53,11.24,30.8,17.1,30.3,1.4,27.3,1.0,39.9,77.6,97.7,,12.5,0.9,33.6,0.0,Emerging Market and Developing Economy,1185.08,24.207,False
104,MOZ,Mozambique,Sub-Saharan Africa,High,9.18,13.31,68.97,62.61,56.44,87.85,9.5,9.52,8.93,8.69,33.9,28.1,40.7,16.4,23.7,0.7,37.8,67.4,24.5,16.3,31.1,54.1,34.4,0.2,Emerging Market and Developing Economy,1210.15,31.993,False
89,LBR,Liberia,Sub-Saharan Africa,High,9.43,13.56,69.52,56.27,65.02,87.26,9.46,8.52,7.84,7.84,22.6,21.3,30.9,9.8,37.3,0.0,23.6,32.6,14.6,10.6,24.9,32.7,26.2,0.0,Emerging Market and Developing Economy,1452.9,4.694,False
144,TCD,Chad,Sub-Saharan Africa,Very High,11.83,15.71,75.32,64.54,68.94,92.49,11.9,11.88,11.07,10.85,26.7,14.9,26.8,0.0,29.1,0.0,34.6,69.0,22.2,,17.4,54.7,38.7,0.0,Emerging Market and Developing Economy,1530.53,16.426,False
145,TGO,Togo,Sub-Saharan Africa,Very High,10.97,16.59,66.11,55.74,56.25,86.34,10.99,9.35,10.48,10.36,29.5,16.4,24.1,5.1,43.7,1.0,38.2,64.2,28.1,11.1,34.4,49.9,39.8,0.0,Emerging Market and Developing Economy,1551.15,8.285,False
